problem_id,language,original_status,original_src,changed_src,change,error,stderr,error_type,original_code_length,changed_code_length,code_length_difference,change_count
p02692,Python,Runtime Error,"N, A, B, C = map(int, input().split()) opts = [] for _ in range(N): opt = input() opts.append((ord(opt[0]) - ord(""A""), ord(opt[1]) - ord(""A""))) choices = [] nums = [A, B, C] for i, opt in enumerate(opts): if nums[opt[0]] == 0 and nums[opt[1]] == 0: print(""No"") break if nums[opt[0]] == 1 and nums[opt[1]] == 1: if i < N - 1 and opt != opts[i + 1]: choice = next(set(opt) ^ set(opts[i + 1])) nums[opt] += 1 nums[opt ^ opt[0] ^ opt[1]] -= 1 choices.append(choice) continue if nums[opt[0]] >= nums[opt[1]]: choices.append(opt[1]) nums[opt[1]] += 1 nums[opt[0]] -= 1 else: choices.append(opt[0]) nums[opt[0]] += 1 nums[opt[1]] -= 1 else: print(""Yes"") for c in choices: print(chr(c + ord(""A"")))","N, A, B, C = map(int, input().split()) opts = [] for _ in range(N): opt = input() opts.append((ord(opt[0]) - ord(""A""), ord(opt[1]) - ord(""A""))) choices = [] nums = [A, B, C] for i, opt in enumerate(opts): if nums[opt[0]] == 0 and nums[opt[1]] == 0: print(""No"") break if nums[opt[0]] == 1 and nums[opt[1]] == 1: if i < N - 1 and opt != opts[i + 1]: choice = (set(opt) & set(opts[i + 1])).pop() nums[choice] += 1 nums[choice ^ opt[0] ^ opt[1]] -= 1 choices.append(choice) continue if nums[opt[0]] >= nums[opt[1]]: choices.append(opt[1]) nums[opt[1]] += 1 nums[opt[0]] -= 1 else: choices.append(opt[0]) nums[opt[0]] += 1 nums[opt[1]] -= 1 else: print(""Yes"") for c in choices: print(chr(c + ord(""A"")))",replace,0,No stderr available,Runtime Error,689,697,8,0
p02692,Python,Runtime Error,"#!/usr/bin/env python3 S, stack = [], [] N = 0 def main() -> None: global N N, A, B, C = rmi() for n in range(N): S.append(r()) enable = dfs(stack, 0, A, B, C) w(""Yes"" if enable else ""No"") if enable: wm(*stack, delim=""\n"") def dfs(stack, index, a, b, c) -> bool: if N <= index: return True inst = S[index] if inst == ""AB"": if a <= 0 and b <= 0: return False if 0 < a: stack.append(""B"") result = dfs(stack, index + 1, a - 1, b + 1, c) if result: return True else: stack.pop() if 0 < b: stack.append(""A"") result = dfs(stack, index + 1, a + 1, b - 1, c) if result: return True else: stack.pop() elif inst == ""AC"": if a <= 0 and c <= 0: return False if 0 < a: stack.append(""C"") result = dfs(stack, index + 1, a - 1, b, c + 1) if result: return True else: stack.pop() if 0 < c: stack.append(""A"") result = dfs(stack, index + 1, a + 1, b, c - 1) if result: return True else: stack.pop() else: if b <= 0 and c <= 0: return False if 0 < b: stack.append(""C"") result = dfs(stack, index + 1, a, b - 1, c + 1) if result: return True else: stack.pop() if 0 < c: stack.append(""B"") result = dfs(stack, index + 1, a, b + 1, c - 1) if result: return True else: stack.pop() return False def r() -> str: return input().strip() def ri() -> int: return int(r()) def rmi(delim: str = "" "") -> tuple: return tuple(map(int, input().split(delim))) def w(data) -> None: print(data) def wm(*data, delim: str = "" "") -> None: print(delim.join(map(str, data))) if __name__ == ""__main__"": import sys sys.setrecursionlimit(10**10) main()","#!/usr/bin/env python3 S, stack = [], [] N = 0 def main() -> None: global N N, A, B, C = rmi() for n in range(N): S.append(r()) enable = dfs(stack, 0, A, B, C) w(""Yes"" if enable else ""No"") if enable: wm(*stack, delim=""\n"") def dfs(stack, index, a, b, c) -> bool: if N <= index: return True inst = S[index] if inst == ""AB"": if a <= 0 and b <= 0: return False if 0 < a: stack.append(""B"") result = dfs(stack, index + 1, a - 1, b + 1, c) if result: return True else: stack.pop() if 0 < b: stack.append(""A"") result = dfs(stack, index + 1, a + 1, b - 1, c) if result: return True else: stack.pop() elif inst == ""AC"": if a <= 0 and c <= 0: return False if 0 < a: stack.append(""C"") result = dfs(stack, index + 1, a - 1, b, c + 1) if result: return True else: stack.pop() if 0 < c: stack.append(""A"") result = dfs(stack, index + 1, a + 1, b, c - 1) if result: return True else: stack.pop() else: if b <= 0 and c <= 0: return False if 0 < b: stack.append(""C"") result = dfs(stack, index + 1, a, b - 1, c + 1) if result: return True else: stack.pop() if 0 < c: stack.append(""B"") result = dfs(stack, index + 1, a, b + 1, c - 1) if result: return True else: stack.pop() return False def r() -> str: return input().strip() def ri() -> int: return int(r()) def rmi(delim: str = "" "") -> tuple: return tuple(map(int, input().split(delim))) def w(data) -> None: print(data) def wm(*data, delim: str = "" "") -> None: print(delim.join(map(str, data))) if __name__ == ""__main__"": import sys sys.setrecursionlimit(10**9) main()",replace,OverflowError: Python int too large to convert to C int,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02692/Python/s269080943.py"", line 99, in <module>
    sys.setrecursionlimit(10**10)
OverflowError: Python int too large to convert to C int
",Runtime Error,1503,1502,-1,0
p02692,Python,Runtime Error,"n, a, b, c = (int(x) for x in input().split()) d = {""A"": a, ""B"": b, ""C"": c} S = [input() for _ in range(n)] ANS = [] for i, s in enumerate(S): if d[s[0]] == 0 and d[s[1]] == 0: print(""No"") exit() else: if d[s[0]] > d[s[1]] or ( d[s[0]] == d[s[1]] == 1 and i < n and s[1] in S[i + 1] ): d[s[1]] += 1 d[s[0]] -= 1 ANS.append(s[1]) else: d[s[0]] += 1 d[s[1]] -= 1 ANS.append(s[0]) print(""Yes"") for ans in ANS: print(ans)","n, a, b, c = (int(x) for x in input().split()) d = {""A"": a, ""B"": b, ""C"": c} S = [input() for _ in range(n)] ANS = [] for i, s in enumerate(S): if d[s[0]] == 0 and d[s[1]] == 0: print(""No"") exit() else: if d[s[0]] > d[s[1]] or ( d[s[0]] == d[s[1]] == 1 and i < n - 1 and s[1] in S[i + 1] ): d[s[1]] += 1 d[s[0]] -= 1 ANS.append(s[1]) else: d[s[0]] += 1 d[s[1]] -= 1 ANS.append(s[0]) print(""Yes"") for ans in ANS: print(ans)",replace,0,No stderr available,Runtime Error,417,421,4,0
p02693,Python,Runtime Error,"K = int(input()) A, B = map(int, input().slice()) print(""OK"" if B - A >= K else ""NG"")","K = int(input()) A, B = map(int, input().split()) large = (B // K) * K if A <= large: print(""OK"") else: print(""NG"")",replace,AttributeError: 'str' object has no attribute 'slice',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02693/Python/s877795440.py"", line 2, in <module>
    A, B = map(int, input().slice())
AttributeError: 'str' object has no attribute 'slice'
",Runtime Error,85,115,30,0
p02696,Python,Time Limit Exceeded,"A, B, N = map(int, input().split()) c = 0 t = -10 if N > 100000000: for i in range(100000000, N + 1): a = (i * A) // B - A * (i // B) c = max(c, a) if t > a or i > 1100000000: print(c) break t = a else: print(c) else: for i in range(N + 1): a = (i * A) // B - A * (i // B) c = max(c, a) if t > a or i > 100000000: print(c) break t = a else: print(c)","A, B, N = map(int, input().split()) X = min(N, B - 1) print(A * X // B - A * (X // B))",replace,TLE,No stderr available,Time Limit Exceeded,349,86,-263,0
p02696,Python,Time Limit Exceeded,"#!/usr/bin/env python3 def main(): import sys input = sys.stdin.readline A, B, N = map(int, input().split()) ans = 0 for x in range(N + 1): res = int((A * x) // B) - A * int(x // B) ans = max(ans, res) print(ans) if __name__ == ""__main__"": main()","#!/usr/bin/env python3 def main(): import sys input = sys.stdin.readline A, B, N = map(int, input().split()) x = min(B - 1, N) print((A * x) // B - A * (x // B)) if __name__ == ""__main__"": main()",replace,TLE,No stderr available,Time Limit Exceeded,246,195,-51,0
p02696,Python,Time Limit Exceeded,"a, b, n = map(int, input().split()) ans = 0 # floor(a * x / b) # = floor(a * floor(x / b) + a * (x / b - floor(x / b))) # = a * floor(x / b) + floor(a * (x / b - floor(x / b)))) for i in range(min(b, n + 1)): ans = max(ans, int(a * i / b)) print(ans)","a, b, n = map(int, input().split()) ans = 0 # floor(a * x / b) # = floor(a * floor(x / b) + a * (x / b - floor(x / b))) # = a * floor(x / b) + floor(a * (x / b - floor(x / b)))) print(int(a * min(b - 1, n) / b))",replace,TLE,No stderr available,Time Limit Exceeded,250,211,-39,0
p02696,Python,Time Limit Exceeded,"from sys import stdin, setrecursionlimit def main(): input = stdin.buffer.readline a, b, n = map(int, input().split()) ans = 0 for x in range(min(b, n + 1)): ans = max(int(a * x / b) - a * int(x / b), ans) print(ans) if __name__ == ""__main__"": setrecursionlimit(10000) main()","from sys import stdin, setrecursionlimit def main(): input = stdin.buffer.readline a, b, n = map(int, input().split()) ans = 0 x = min(b - 1, n) ans = max(int(a * x / b) - a * int(x / b), ans) print(ans) if __name__ == ""__main__"": setrecursionlimit(10000) main()",replace,TLE,No stderr available,Time Limit Exceeded,275,262,-13,0
p02696,Python,Runtime Error,"def m(): a, b, n = map(int, input().split()) def calc(x): return int((a * x) / b) - (a * int(x / b)) if calc(1) < calc(n // 2): return max([calc(i) for i in range(n // 2, n + 1)]) else: return max([calc(i) for i in range(1, n // 2 + 1)]) print(m())","def m(): a, b, n = map(int, input().split()) def calc(x): return int((a * x) / b) - (a * int(x / b)) return calc(min(n, b - 1)) print(m())",replace,0,No stderr available,Runtime Error,248,138,-110,0
p02696,Python,Time Limit Exceeded,"def main(): a, b, n = [int(x) for x in input().split()] gen = (a * x // b - x // b * a for x in range(min(b, n) + 1)) return max(gen) if __name__ == ""__main__"": print(main())","def main(): a, b, n = [int(x) for x in input().split()] # gen = (a * x // b - x // b * a for x in range(min(b, n) + 1)) if n >= b - 1: x = b - 1 else: x = n return a * x // b - x // b * a if __name__ == ""__main__"": print(main())",replace,TLE,No stderr available,Time Limit Exceeded,174,228,54,0
p02696,Python,Time Limit Exceeded,"A, B, N = map(int, input().split()) ans = 0 for i in range(1, N + 1): tmp = (A * i) // B - A * (i // B) ans = max(ans, tmp) print(ans)","A, B, N = map(int, input().split()) x = min(B - 1, N) ans = (A * x) // B - A * (x // B) print(ans)",replace,TLE,No stderr available,Time Limit Exceeded,134,98,-36,0
p02696,Python,Time Limit Exceeded,"# def main(): a, b, n = map(int, input().split("" "")) fac = 0 for i in range(n + 1): j = i // b if j == 0: if fac < i: fac = i else: break ans = a * fac // b - a * (fac // b) print(ans) if __name__ == ""__main__"": main()","# def main(): a, b, n = map(int, input().split("" "")) fac = 0 start = min(b, n) if b <= n: fac = start - 1 else: fac = start ans = a * fac // b - a * (fac // b) print(ans) if __name__ == ""__main__"": main()",replace,TLE,No stderr available,Time Limit Exceeded,218,204,-14,0
p02696,Python,Runtime Error,"a, b, n = map(int, input().split()) x = min(b.n) print(int(a * x / b))","a, b, n = map(int, input().split()) x = min(b - 1, n) ans = int(a * x / b) # if a == 1 or b == 1 or b == n: # print(0) # else: print(ans)",replace,AttributeError: 'int' object has no attribute 'n',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02696/Python/s868471996.py"", line 3, in <module>
    x = min(b. n)
AttributeError: 'int' object has no attribute 'n'
",Runtime Error,70,137,67,0
p02696,Python,Time Limit Exceeded,"def f(x): return (a * x) // b - a * (x // b) a, b, n = map(int, input().split()) k = (n + 1) // b ans = 0 for x in range(max(0, k * b - 1), n + 1): ans = max(ans, f(x)) print(ans)","def f(x): return (a * x) // b - a * (x // b) a, b, n = map(int, input().split()) k = (n + 1) // b x = max(k * b - 1, 0) ans = f(x) ans = max(ans, f(n)) print(ans)",replace,TLE,No stderr available,Time Limit Exceeded,179,162,-17,0
p02696,Python,Time Limit Exceeded,"import math A, B, N = map(int, input().split("" "")) ans = 0 for x in range(min(B, N + 1)): res = math.floor((A * x) / B) - A * (math.floor(x / B)) ans = max(res, ans) print(int(ans))","import math A, B, N = map(int, input().split("" "")) ans = 0 x = min(B, N + 1) - 1 ans = math.floor((A * x) / B) - A * (math.floor(x / B)) print(int(ans))",replace,TLE,No stderr available,Time Limit Exceeded,181,152,-29,0
p02696,Python,Time Limit Exceeded,"a, b, n = map(int, input().split()) ans = 0 if b > n: x = n ans = int(a * x // b) - int(a * (x // b)) else: m = 0 for i in range(b): if int(a * (n - i) // b) - int(a * ((n - i) // b)) > m: m = int(a * (n - i) // b) - int(a * ((n - i) // b)) ans = m print(ans)","a, b, n = map(int, input().split()) ans = 0 if b > n: x = n ans = int(a * x // b) - int(a * (x // b)) else: x = n ans1 = int(a * x // b) - int(a * (x // b)) x = (n // b) * b - 1 ans2 = int(a * x // b) - int(a * (x // b)) ans = max(ans1, ans2) print(ans)",replace,TLE,No stderr available,Time Limit Exceeded,259,253,-6,0
p02696,Python,Runtime Error,"from math import floor A, B, N = list(map(int, input().split())) # print(A, B, N) x = None if N < B: x = N answer = floor(A * x / B) - A * floor(x / B) print(answer)","from math import floor A, B, N = list(map(int, input().split())) # print(A, B, N) x = None if N < B: x = N else: x = B x = B - 1 # max_diff = 0 # for _x in range(B, N + 1): # diff = (x / B) - floor(x / B) # if max_diff <= diff: # max_diff = diff # x = _x answer = floor(A * x / B) - A * floor(x / B) print(answer)",insert,0,No stderr available,Runtime Error,165,313,148,0
p02696,Python,Time Limit Exceeded,"import sys sys.setrecursionlimit(10**6) INF = float(""inf"") MOD = 10**9 + 7 def input(): return sys.stdin.readline().strip() def main(): A, B, N = map(int, input().split()) def func(x): res = (A * x) // B - A * (x // B) return res M = 0 for i in range(N, max(0, N - 10**7), -1): tmp = func(i) if tmp > M: M = tmp print(M) if __name__ == ""__main__"": main()","import sys sys.setrecursionlimit(10**6) INF = float(""inf"") MOD = 10**9 + 7 def input(): return sys.stdin.readline().strip() def main(): A, B, N = map(int, input().split()) def func(x): res = (A * x) // B - A * (x // B) return res print(func(min(N, B - 1))) if __name__ == ""__main__"": main()",replace,TLE,No stderr available,Time Limit Exceeded,354,290,-64,0
p02697,Python,Runtime Error,"N, M = map(int, input().split()) sieve = [0] * (100000 + 1) sieve[0] = -1 sieve[1] = -1 for i in range(2, 100000 + 1): if sieve[i] != 0: continue sieve[i] = i for j in range(i * i, 100000 + 1, i): if sieve[j] == 0: sieve[j] = i p = [] for i in range(N - 1, -1, -1): if sieve[i] == i: p.append(i) p.append(1) t = set() pp = 0 for i in range(M): x = i + 1 y = x + p[pp] while y in t: pp += 1 y = x + p[pp] t.add(x) t.add(y) print(x, y) pp += 1","N, M = map(int, input().split()) for i in range(1, M + 1): if i % 2 == 1: j = (i - 1) // 2 print(1 + j, M + 1 - j) else: j = (i - 2) // 2 print(M + 2 + j, 2 * M + 1 - j)",replace,0,No stderr available,Runtime Error,441,169,-272,0
p02697,Python,Runtime Error,"n, m = map(int, input().split()) a, b = n, 1 V = [False for d in range(1, m + 2)] for i in range(m): d = min(a - b, n - (a - b)) if 2 * d == n or V[d]: a -= 1 print(a, b) d = min(a - b, n - (a - b)) V[d] = True a -= 1 b += 1","n, m = map(int, input().split()) a, b = n, 1 V = [False for d in range(1, n + 1)] for i in range(m): d = min(a - b, n - (a - b)) if 2 * d == n or V[d]: a -= 1 print(a, b) d = min(a - b, n - (a - b)) V[d] = True a -= 1 b += 1",replace,0,No stderr available,Runtime Error,224,224,0,0
p02697,Python,Runtime Error,"n, m = map(int, input().split()) if n % 2 == 1: for i in range(1, m + 1): print(i, n + 1 - i) else: used = [False] * (n + 1) i = 1 count = 0 while count < m: while used[i]: i += 1 print(i, i + count + 1) used[i] = True used[i + count + 1] = True count += 1","n, m = map(int, input().split()) if n % 2 == 1: for i in range(1, m + 1): print(i, n + 1 - i) else: turning_point = (m + 1) // 2 for i in range(1, turning_point + 1): print(i, n + 1 - i) for i in range(turning_point + 1, m + 1): print(i, n - i)",replace,0,No stderr available,Runtime Error,256,244,-12,0
p02697,Python,Runtime Error,"import sys sys.setrecursionlimit(10**6) INF = float(""inf"") MOD = 10**9 + 7 def input(): return sys.stdin.readline().strip() def main(): N, M = map(int, input().split()) if N % 2 == 0: used = [False] * (N + 1) i = 0 span = 1 cnt = 0 while cnt < M: cnt += 1 while used[i]: i += 1 print(i + 1, i + 1 + span) used[i] = True used[i + span] = True span += 1 else: for i in range(M): print(i + 1, N - i) if __name__ == ""__main__"": main()","import sys sys.setrecursionlimit(10**6) INF = float(""inf"") MOD = 10**9 + 7 def input(): return sys.stdin.readline().strip() def main(): N, M = map(int, input().split()) if N % 2 == 0: for i in range(M): x = i + 1 y = N - i - 1 if y - x > (N - y + x): print(x, y) else: print(x, y - 1) else: for i in range(M): print(i + 1, N - i) if __name__ == ""__main__"": main()",replace,0,No stderr available,Runtime Error,430,363,-67,0
p02699,Python,Runtime Error,"A, B = map(int.input().split()) if A > B: print(""safe"") else: print(""unsafe"")","A, B = map(int, input().split()) if A > B: print(""safe"") else: print(""unsafe"")",replace,AttributeError: type object 'int' has no attribute 'input',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02699/Python/s743314648.py"", line 1, in <module>
    A, B = map(int.input().split())
AttributeError: type object 'int' has no attribute 'input'
",Runtime Error,77,78,1,0
p02699,Python,Runtime Error,"s, w = map(int, input().split("""")) res = ""safe"" if w >= s: res = ""unsafe"" print(res)","s, w = map(int, input().split("" "")) res = ""safe"" if w >= s: res = ""unsafe"" print(res)",replace,ValueError: empty separator,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02699/Python/s552737943.py"", line 1, in <module>
    s, w = map(int, input().split(""""))
ValueError: empty separator
",Runtime Error,84,85,1,0
p02699,Python,Runtime Error,"def main(): s, w = map(int, input()) if w >= s: print(""unsafe"") else: print(""safe"") if __name__ == ""__main__"": main()","def main(): s, w = map(int, input().split()) if w >= s: print(""unsafe"") else: print(""safe"") if __name__ == ""__main__"": main()",replace,ValueError: invalid literal for int() with base 10: ' ',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02699/Python/s696020761.py"", line 11, in <module>
    main()
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02699/Python/s696020761.py"", line 3, in main
    s, w = map(int, input())
ValueError: invalid literal for int() with base 10: ' '
",Runtime Error,117,125,8,0
p02700,Python,Time Limit Exceeded,"ht, st, ha, sa = list(map(int, input().split("" ""))) bool_player = True # Takashi while ht > 0 or st > 0: if bool_player: ha -= st bool_player = False else: ht -= sa bool_player = True if ht <= 0: print(""No"") else: print(""Yes"")","ht, st, ha, sa = list(map(int, input().split("" ""))) bool_player = True # Takashi while ht > 0 and ha > 0: if bool_player: ha -= st bool_player = False else: ht -= sa bool_player = True if ht <= 0: print(""No"") else: print(""Yes"")",replace,TLE,No stderr available,Time Limit Exceeded,226,227,1,0
p02700,Python,Time Limit Exceeded,"A, B, C, D = list(map(int, input().split())) while A and C: A -= D C -= B if C <= 0: print(""Yes"") elif A <= 0: print(""No"")","A, B, C, D = list(map(int, input().split())) t1 = (A + D - 1) // D t2 = (C + B - 1) // B print(""Yes"" if t2 <= t1 else ""No"")",replace,TLE,No stderr available,Time Limit Exceeded,122,123,1,0
p02701,Python,Runtime Error,import collections n = int(input()) a = [list(input() for i in range(n))] b = collections.Counter(a) print(len(b)),import collections n = int(input()) a = [input() for i in range(n)] b = collections.Counter(a) print(len(b)),replace,TypeError: unhashable type: 'list',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02701/Python/s293744193.py"", line 5, in <module>
    b = collections.Counter(a)
  File ""/usr/lib/python3.10/collections/__init__.py"", line 577, in __init__
    self.update(iterable, **kwds)
  File ""/usr/lib/python3.10/collections/__init__.py"", line 670, in update
    _count_elements(self, iterable)
TypeError: unhashable type: 'list'
",Runtime Error,114,108,-6,0
p02701,Python,Runtime Error,n = int(input) lis = [input() for i in range(n)] print(len(set(lis))),n = int(input()) lis = [input() for i in range(n)] print(len(set(lis))),replace,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02701/Python/s310001383.py"", line 1, in <module>
    n = int(input)
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'
",Runtime Error,69,71,2,0
p02701,Python,Runtime Error,N = input() List = list(input() for i in range(N)) print(len(set(List))),N = int(input()) List = list(input() for i in range(N)) print(len(set(List))),replace,TypeError: 'str' object cannot be interpreted as an integer,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02701/Python/s903293880.py"", line 2, in <module>
    List = list(input() for i in range(N))
TypeError: 'str' object cannot be interpreted as an integer
",Runtime Error,72,77,5,0
p02701,Python,Runtime Error,n = int(input()) s = (input() for _ in range(n)) print(len(s)),n = int(input()) s = {input() for _ in range(n)} print(len(s)),replace,TypeError: object of type 'generator' has no len(),"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02701/Python/s709317664.py"", line 3, in <module>
    print(len(s))
TypeError: object of type 'generator' has no len()
",Runtime Error,62,62,0,0
p02701,Python,Time Limit Exceeded,n = int(input()) ans = 0 u_l = [] for _ in range(n): s = input() if s not in u_l: u_l.append(s) ans += 1 print(ans),n = int(input()) l = [input() for _ in range(n)] print(len(set(l))),replace,TLE,No stderr available,Time Limit Exceeded,115,67,-48,0
p02701,Python,Time Limit Exceeded,"import sys def main(): readline = sys.stdin.readline N = int(readline()) li = [] for _ in range(N): S = readline() if S not in li: li.append(S) print(len(li)) if __name__ == ""__main__"": main()","import sys def main(): readline = sys.stdin.readline N = int(readline()) se = set([readline() for _ in range(N)]) print(len(se)) if __name__ == ""__main__"": main()",replace,TLE,No stderr available,Time Limit Exceeded,192,162,-30,0
p02701,Python,Runtime Error,n = int(input()) s = [int(input()) for _ in range(n)] ans = set() for i in s: ans.add(i) print(len(ans)),n = int(input()) s = [input() for _ in range(n)] ans = set() for i in s: ans.add(i) print(len(ans)),replace,ValueError: invalid literal for int() with base 10: 'apple',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02701/Python/s962277082.py"", line 2, in <module>
    s = [int(input()) for _ in range(n)]
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02701/Python/s962277082.py"", line 2, in <listcomp>
    s = [int(input()) for _ in range(n)]
ValueError: invalid literal for int() with base 10: 'apple'
",Runtime Error,104,99,-5,0
p02701,Python,Runtime Error,"a = map(int, input().split()) s = list(map(int, input().split())) print(len(set(s)))",a = int(input()) s = [input() for i in range(a)] print(len(set(s))),replace,ValueError: invalid literal for int() with base 10: 'apple',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02701/Python/s227226698.py"", line 2, in <module>
    s = list(map(int, input().split()))
ValueError: invalid literal for int() with base 10: 'apple'
",Runtime Error,84,67,-17,0
p02701,Python,Runtime Error,import collections N = int(input()) S = [] for i in range(N): S.append(input()) c = collections.counter(S) print(len(c)),import collections N = int(input()) S = [] for i in range(N): S.append(input()) c = collections.Counter(S) print(len(c)),replace,AttributeError: module 'collections' has no attribute 'counter'. Did you mean: 'Counter'?,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02701/Python/s677938637.py"", line 9, in <module>
    c = collections.counter(S)
AttributeError: module 'collections' has no attribute 'counter'. Did you mean: 'Counter'?
",Runtime Error,120,120,0,0
p02701,Python,Runtime Error,N = int(input()) S = [] while True: Si = input() if Si: S.append(Si) else: break g = S[:N] print(g),n = int(input()) s = set(input() for _ in range(n)) print(len(s)),replace,EOFError: EOF when reading a line,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02701/Python/s240465038.py"", line 4, in <module>
    Si = input()
EOFError: EOF when reading a line
",Runtime Error,99,65,-34,0
p02701,Python,Time Limit Exceeded,N = int(input()) S = [] for i in range(N): s = input() if s not in S: S.append(s) print(len(S)),"N = int(input()) S = [] for i in range(N): s = input() S.append(s) ans = len(S) S.sort() for i in range(1, N): if S[i] == S[i - 1]: ans -= 1 print(ans)",replace,TLE,No stderr available,Time Limit Exceeded,95,151,56,0
p02702,Python,Time Limit Exceeded,"S = input() N = len(S) cnt = 0 for i in range(N - 3): for j in range(i + 4, N + 1): if int(S[i:j]) % 2019 == 0: # print(i, j) cnt += 1 print(cnt)","S = input() N = len(S) num = [0] * 2019 num[0] = 1 now, ans = 0, 0 _10 = 1 for i in range(N - 1, -1, -1): now = (now + int(S[i]) * _10) % 2019 _10 *= 10 _10 %= 2019 ans += num[now] num[now] += 1 print(ans)",replace,TLE,No stderr available,Time Limit Exceeded,145,205,60,0
p02702,Python,Time Limit Exceeded,from collections import defaultdict S = input() n = len(S) mod = 2019 d = defaultdict(int) d[0] = 1 num = 0 for i in reversed(range(n)): num += int(S[i]) * 10 ** (n - i - 1) num %= mod d[num] += 1 ans = 0 for v in d.values(): ans += v * (v - 1) // 2 print(ans),"from collections import defaultdict S = input() n = len(S) mod = 2019 d = defaultdict(int) d[0] = 1 num = 0 for i in reversed(range(n)): num += int(S[i]) * pow(10, n - i - 1, mod) num %= mod d[num] += 1 ans = 0 for v in d.values(): ans += v * (v - 1) // 2 print(ans)",replace,TLE,No stderr available,Time Limit Exceeded,260,266,6,0
p02702,Python,Time Limit Exceeded,"S = input() N = len(S) map_ = [-1] * 2019 map_[0] = 0 ans = 0 now = 0 for i in range(0, N + 1): now += (int(S[N - i - 1]) * (10**i)) % 2019 map_[now % 2019] += 1 ans += map_[now % 2019] print(ans)","S = input() N = len(S) map_ = [-1] * 2019 map_[0] = 0 ans = 0 now = 0 for i in range(0, N): now = (now + int(S[N - i - 1]) * pow(10, i, 2019)) % 2019 map_[now] += 1 ans += map_[now] print(ans)",replace,TLE,No stderr available,Time Limit Exceeded,196,192,-4,0
p02702,Python,Time Limit Exceeded,"S = str(input()) # 余りのリスト counts = [0] * 2019 n, d = 0, 1 for s in S[::-1]: n += int(s) * d d *= 10 n %= 2019 counts[n] += 1 ans = counts[0] for count in counts: ans += count * (count - 1) // 2 print(ans)","S = str(input()) # 余りのリスト counts = [0] * 2019 n, d = 0, 1 for s in S[::-1]: n += int(s) * d d *= 10 n %= 2019 d %= 2019 counts[n] += 1 ans = counts[0] for count in counts: ans += count * (count - 1) // 2 print(ans)",insert,TLE,No stderr available,Time Limit Exceeded,204,214,10,0
p02702,Python,Time Limit Exceeded,"from collections import Counter S = input() N = len(S) L = [0] * (N + 1) s = 0 for i in range(N): s += int(S[N - 1 - i]) * pow(10, i) L[i + 1] = s % 2019 C = Counter(L) cnt = 0 for key in list(C.keys()): k = C[key] cnt += (k * (k - 1)) // 2 print(cnt)","from collections import Counter S = input() N = len(S) L = [0] * (N + 1) s = 0 for i in range(N): s += int(S[N - 1 - i]) * pow(10, i, 2019) L[i + 1] = s % 2019 C = Counter(L) cnt = 0 for key in list(C.keys()): k = C[key] cnt += (k * (k - 1)) // 2 print(cnt)",replace,TLE,No stderr available,Time Limit Exceeded,251,257,6,0
